nombreUniversidad,sector,provincia,nombreCarrera,areaConocimiento,nivel,modalidad,duracionAnios,cantidadCarrerasVirtuales,cantidadAreas,porcentajeOfertaVirtual,observaciones,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Lic. en Ciencias de la Educación a Distancia,Humanidades,Grado,Distancia,4,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Lic. en Filosofía ,Humanidades,Grado,Distancia,4,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Educación Física,Humanidades,Grado complementario,Distancia,3 cuatrimestres,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Ciencias de la Educación  ,Humanidades,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Filosofía a Distancia,Humanidades,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Profesorado Universitario,Humanidades,Grado complementario,Distancia,3 cuatrimestres,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Geografía,Humanidades,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Letras,Humanidades,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Historia,Humanidades,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Tecnicatura en Entrenamiento Deportivo y Alto Rendimiento,Humanidades,Pregrado,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Tecnicatura en Periodismo Deportivo,Humanidades,Pregrado,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Diplomatura en Tutoría para la Educación Secundaria y Superior,Humanidades,Formación complementaria,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Fonoaudilogía,Ciencias de la Salud,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Obstetricia,Ciencias de la Salud,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Instrumentación Quirúrgica,Ciencias de la Salud,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Lic. en Relaciones Públicas,Cs. Económicas y Sociales,Grado,Distancia,4,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Administración Penitenciaria,Cs. Económicas y Sociales,Grado complementario,Distancia,2,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Martillero y Corredor de Comercio,Derecho y Ciencias Políticas,Grado,Distancia,5 cuatrimestres,19,4,,,
Universidad Cátolica de la Plata,Privada,Buenos Aires,Ciclo de Lic. en Seguridad,Derecho y Ciencias Políticas,Grado complementario,Distancia,2,19,4,,,
Universidad de Palermo,Privada,Buenos Aires,MBA - Maestría en Dirección de Empresas,Facultad de Negocios,Maestría,Distancia,2,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Administración,Facultad de Negocios,Grado,Distancia,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Administración de Sistemas y Empresas,Facultad de Negocios,Grado,Distancia,4,"""+50""",5,,,
